Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Deaths_Delta,Confirmed_Delta,Date,Number
821128,11356,639809.0,169963.0,6565.626682129599,1.3829756140333784,76,5452,2021-01-03,2
824979,11433,645923.0,167623.0,6596.418749082475,1.385853458088024,77,3851,2021-01-04,3
828570,11507,652324.0,164739.0,6625.131891753931,1.3887782565142357,74,3591,2021-01-05,4
833412,11582,659076.0,162754.0,6663.847858564065,1.3897088114881957,75,4842,2021-01-06,5
838554,11652,666282.0,160620.0,6704.962584160452,1.3895348421210798,70,5142,2021-01-07,6
843425,11728,673692.0,158005.0,6743.910430986591,1.3905207931944157,76,4871,2021-01-08,7
848452,11799,680759.0,155894.0,6784.105632381579,1.3906502666031786,71,5027,2021-01-09,8
853352,11873,688061.0,153418.0,6823.285359223723,1.3913367520085498,74,4900,2021-01-10,9
857568,11950,695106.0,150512.0,6856.995916033206,1.3934755028172694,77,4216,2021-01-11,10
862214,12025,701790.0,148399.0,6894.144693769656,1.3946653614995812,75,4646,2021-01-12,11
867215,12097,708568.0,146550.0,6934.132002736504,1.3949251339056636,72,5001,2021-01-13,12
871535,12173,715438.0,143924.0,6968.6741292585575,1.3967310549777117,76,4320,2021-01-14,13
877428,12241,722487.0,142700.0,7015.793747683199,1.3951002247477855,68,5893,2021-01-15,14
882962,12322,729089.0,141551.0,7060.042851426958,1.39553004546062,81,5534,2021-01-16,15
887636,12401,734728.0,140507.0,7097.415513316791,1.3970816866373152,79,4674,2021-01-17,16
891648,12468,739340.0,139840.0,7129.494914151623,1.3983096468561584,67,4012,2021-01-18,17
895327,12541,743349.0,139437.0,7158.911692733712,1.400717279831838,73,3679,2021-01-19,18
898442,12625,747881.0,137936.0,7183.818804797646,1.4052103530333622,84,3115,2021-01-20,19
900894,12690,752651.0,135553.0,7203.4246599439575,1.4086007898820505,65,2452,2021-01-21,20
904352,12759,757871.0,133722.0,7231.074352886842,1.4108444499486923,69,3458,2021-01-22,21
907389,12831,763500.0,131058.0,7255.35778766635,1.4140572565900622,72,3037,2021-01-23,22
910057,12895,769433.0,127729.0,7276.690749138766,1.4169442133844363,64,2668,2021-01-24,23
913126,12969,774550.0,125607.0,7301.230051522141,1.4202859189202803,74,3069,2021-01-25,24
915508,13030,779824.0,122654.0,7320.276196284994,1.4232535379264846,61,2382,2021-01-26,25
917825,13100,785396.0,119329.0,7338.802609977492,1.4272873369106311,70,2317,2021-01-27,26
919662,13175,791320.0,115167.0,7353.4910096119875,1.4325915390654391,75,1837,2021-01-28,27
922559,13237,797462.0,111860.0,7376.655023624577,1.4348133832090957,62,2897,2021-01-29,28
925358,13300,803642.0,108416.0,7399.035443100322,1.4372815710244036,63,2799,2021-01-30,29
927788,13368,809226.0,105194.0,7418.465389268977,1.4408464002552308,68,2430,2021-01-31,30
930072,13434,814728.0,101910.0,7436.727939494986,1.444404304182902,66,2284,2021-02-01,31
932109,13495,819611.0,99003.0,7453.01551165365,1.4477920500713972,61,2037,2021-02-02,32
933810,13569,824623.0,95618.0,7466.616473971708,1.4530793202043242,74,1701,2021-02-03,33
935355,13634,829844.0,91877.0,7478.970081720914,1.4576283870829791,65,1545,2021-02-04,34
937450,13701,835168.0,88581.0,7495.721413911586,1.461517947623873,67,2095,2021-02-05,35
939482,13772,839832.0,85878.0,7511.969006757144,1.465914195269308,71,2032,2021-02-06,36
941696,13832,844165.0,83699.0,7529.671846599694,1.46883920076118,60,2214,2021-02-07,37
943724,13896,847822.0,82006.0,7545.887455994771,1.4724644069664437,64,2028,2021-02-08,38
945452,13958,851171.0,80323.0,7559.704306603591,1.4763308978139555,62,1728,2021-02-09,39
947036,14031,854725.0,78280.0,7572.36975299501,1.4815698664042338,73,1584,2021-02-10,40
948477,14099,858358.0,76020.0,7583.8917910316495,1.4864883386734733,68,1441,2021-02-11,41
950517,14160,861916.0,74441.0,7600.2033507781725,1.4897155968804343,61,2040,2021-02-12,42
952656,14223,865100.0,73333.0,7617.306500924163,1.492983826270973,63,2139,2021-02-13,43
954619,14290,867780.0,72549.0,7633.002379248882,1.496932283979263,67,1963,2021-02-14,44
956178,14348,869869.0,71961.0,7645.46792907478,1.5005574275919338,58,1559,2021-02-15,45
957996,14404,871836.0,71756.0,7660.004407319478,1.503555338435651,56,1818,2021-02-16,46
959405,14464,873898.0,71043.0,7671.270577752249,1.5076010652435623,60,1409,2021-02-17,47
960687,14523,876141.0,70023.0,7681.521273632172,1.511730667740898,59,1282,2021-02-18,48
962637,14578,878655.0,69404.0,7697.113205742819,1.5143818490251255,55,1950,2021-02-19,49
964609,14631,880767.0,69211.0,7712.881046831128,1.5167803742241674,53,1972,2021-02-20,50
966232,14689,882808.0,68735.0,7725.85833186476,1.520235305806473,58,1623,2021-02-21,51
967834,14741,884615.0,68478.0,7738.667703783354,1.5230917698696265,52,1602,2021-02-22,52
969557,14782,886273.0,68502.0,7752.444575079071,1.5246138184758606,41,1723,2021-02-23,53
970755,14831,887637.0,68287.0,7762.023618498844,1.527779923873686,49,1198,2021-02-24,54
972172,14874,889356.0,67942.0,7773.353755832582,1.529976177055089,43,1417,2021-02-25,55
973578,14921,891448.0,67209.0,7784.59593867749,1.5325942040596643,47,1406,2021-02-26,56
974914,14966,893871.0,66077.0,7795.27841113894,1.53510976352786,45,1336,2021-02-27,57
